season,team,starts,wins,podiums,poles,championship_position,championship_points,status
2007,McLaren,17,4,12,6,2,109,complete
2008,McLaren,18,5,10,7,1,98,complete
2009,McLaren,17,2,5,4,5,49,complete
2010,McLaren,19,3,9,1,4,240,complete
2011,McLaren,19,3,6,1,5,227,complete
2012,McLaren,20,4,7,7,4,190,complete
2013,Mercedes,19,1,5,5,4,189,complete
2014,Mercedes,19,11,16,7,1,384,complete
2015,Mercedes,19,10,17,11,1,381,complete
2016,Mercedes,21,10,17,12,2,380,complete
2017,Mercedes,20,9,13,11,1,363,complete
2018,Mercedes,21,11,17,11,1,408,complete
2019,Mercedes,21,11,17,5,1,413,complete
2020,Mercedes,16,11,14,10,1,347,complete
2021,Mercedes,22,8,17,5,2,387.5,complete
2022,Mercedes,22,0,9,0,6,240,complete
2023,Mercedes,22,0,6,1,3,234,complete
2024,Mercedes,24,2,5,0,7,223,complete
2025,Ferrari,24,0,0,0,6,156,complete
2026,Ferrari,14,1,5,0,3,191,YTD_2026-09-25
